#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.60399997234344	-49.584860451667
0.60600000619888	-49.416269148382
0.60799998044968	-49.248034938192
0.61000001430511	-49.080165743841
0.61199998855591	-48.912659998631
0.61400002241135	-48.745507545494
0.61599999666214	-48.578690003345
0.61799997091293	-48.412181030148
0.62000000476837	-48.245946036935
0.62199997901917	-48.079944483671
0.62400001287460	-47.914129000822
0.62599998712540	-47.748448366955
0.62800002098083	-47.582842961583
0.62999999523163	-47.417254260070
0.63200002908707	-47.251615617048
0.63400000333786	-47.085863242354
0.63599997758865	-46.919929030407
0.63800001144409	-46.753746273681
0.63999998569489	-46.587246295646
0.64200001955032	-46.420366970402
0.64399999380112	-46.253043476224
0.64600002765656	-46.085217852653
0.64800000190735	-45.916834388653
0.64999997615814	-45.747843065357
0.65200001001358	-45.578198835643
0.65399998426437	-45.407861140499
0.65600001811981	-45.236798642121
0.65799999237061	-45.064984276742
0.66000002622604	-44.892398580469
0.66200000047684	-44.719029251244
0.66399997472763	-44.544870535365
0.66600000858307	-44.369925926058
0.66799998283386	-44.194201245977
0.67000001668930	-44.017713377839
0.67199999094009	-43.840482846291
0.67400002479553	-43.662536810415
0.67599999904633	-43.483907038837
0.67799997329712	-43.304632591715
0.68000000715256	-43.124752542775
0.68199998140335	-42.944315338586
0.68400001525879	-42.763367259842
0.68599998950958	-42.581958924865
0.68800002336502	-42.400142934282
0.68999999761581	-42.217973624623
0.69199997186661	-42.035504886693
0.69400000572205	-41.852789515096
0.69599997997284	-41.669883822093
0.69800001382828	-41.486837676799
0.69999998807907	-41.303704495719
0.70200002193451	-41.120529804288
0.70399999618530	-40.937361266102
0.70599997043610	-40.754242697447
0.70800000429153	-40.571214350987
0.70999997854233	-40.388312782460
0.71200001239777	-40.205573383657
0.71399998664856	-40.023023380543
0.71600002050400	-39.840690795968
0.71799999475479	-39.658596877638
0.72000002861023	-39.476759342741
0.72200000286102	-39.295195151864
0.72399997711182	-39.113913422830
0.72600001096725	-38.932920276396
0.72799998521805	-38.752220638518
0.73000001907349	-38.571814845110
0.73199999332428	-38.391698500431
0.73400002717972	-38.211865431198
0.73600000143051	-38.032306537865
0.73799997568130	-37.853010307044
0.74000000953674	-37.673961994278
0.74199998378754	-37.495144715053
0.74400001764297	-37.316540836292
0.74599999189377	-37.138129499745
0.74800002574921	-36.959889589994
0.75000000000000	-36.781798366425
0.75199997425079	-36.603831968189
0.75400000810623	-36.425967469942
0.75599998235703	-36.248180663052
0.75800001621246	-36.070445540641
0.75999999046326	-35.892740368294
0.76200002431870	-35.715040705207
0.76399999856949	-35.537321674440
0.76599997282028	-35.359564783425
0.76800000667572	-35.181748714054
