           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -195              100              360        -0.593271           1.0201         -4.10749          4.11458        -0.279895        -0.333948
             -195              100              365        -0.409807           1.0989         -3.39315          4.80138        -0.318131          -0.2917
             -195              100              370        -0.216375          1.14497         -2.56794           5.3631        -0.350939        -0.244839
             -195              100              375       -0.0188881          1.15712         -1.65374           5.7801         -0.37784         -0.19403
             -195              100              380         0.176637          1.13521        -0.675679          6.03668        -0.398398        -0.139993
             -195              100              385          0.36427          1.08017         0.338561          6.12163        -0.412226       -0.0835068
             -195              100              390          0.53836         0.993977          1.35951          6.02873        -0.418994       -0.0254093
             -195              100              395         0.693715         0.879562          2.35679          5.75712        -0.418433        0.0334026
             -195              100              400         0.825772         0.740738          3.30002          5.31136        -0.410354        0.0919726
             -195              100              405         0.930735         0.582053          4.15978          4.70155        -0.394663         0.149294
             -195              100              410           1.0057         0.408654          4.90854          3.94308        -0.371374         0.204319
             -195              100              415          1.04875         0.226102          5.52162          3.05632         -0.34063         0.255971
             -195              100              420            1.059        0.0401977          5.97795          2.06608         -0.30272         0.303159
             -195              100              425           1.0366        -0.143209          6.26093          1.00096        -0.258087         0.344801
             -195              100              430         0.982771        -0.318415          6.35896        -0.107512         -0.20735         0.379854
             -195              100              435         0.899707        -0.480045          6.26603          -1.2258        -0.151301          0.40734
             -195              100              440         0.790522        -0.623228          5.98197         -2.31936       -0.0909103         0.426377
             -195              100              445         0.659127        -0.743747          5.51261         -3.35377       -0.0273262         0.436219
             -195              100              450         0.510096        -0.838172          4.86976         -4.29581        0.0381452         0.436282
             -195              100              455         0.348513        -0.903968          4.07092         -5.11459         0.104055         0.426188
             -195              100              460         0.179789        -0.939561          3.13886         -5.78258         0.168843         0.405785
             -195              100              465       0.00949047        -0.944385          2.10101          -6.2766         0.230876         0.375178
             -195              100              470        -0.156855        -0.918889         0.988672         -6.57864         0.288481         0.334749
             -195              100              475        -0.313937        -0.864507        -0.163936         -6.67659         0.340004         0.285169
             -195              100              480        -0.456838        -0.783595         -1.32072         -6.56473         0.383859         0.227398
             -195              100              485        -0.581187        -0.679346         -2.44483         -6.24406         0.418586         0.162679
             -195              100              490        -0.683306         -0.55567         -3.49991         -5.72239         0.442903        0.0925227
             -195              100              495        -0.760315        -0.417051         -4.45124         -5.01423         0.455765        0.0186734
             -195              100              500        -0.810224        -0.268393         -5.26697         -4.14042         0.456415       -0.0569279
             -190              100                0        -0.515187        0.0857452          11.1931          1.14543       -0.0820877        -0.251271
             -190              100                5        -0.552639        0.0914469          10.8839          1.02974         0.275401        -0.321458
             -190              100               10        -0.552765        0.0933182          10.5185         0.909947          0.61568        -0.392089
             -190              100               15        -0.509574        0.0889422          10.0818         0.784367         0.908387         -0.46306
             -190              100               20        -0.440177        0.0807867          9.60199         0.655288          1.17231        -0.534237
             -190              100               25        -0.352227        0.0658895          9.07889         0.520363          1.37047        -0.605063
